,id_str,created_at,user.screen_name,user.location,retweeted_status.created_at,text,extended_tweet.full_text
6110,1186713089292558336,Tue Oct 22 18:37:03 +0000 2019,htorrejonv,"San Felipe, Chile",,@sebastianpinera Oye pero como puedes decir tanta tontera. Eres tonto o te haces? Acá los únicos violentos son los… https://t.co/0fhs8CFncy,@sebastianpinera Oye pero como puedes decir tanta tontera. Eres tonto o te haces? Acá los únicos violentos son los milicos pacos y pdi. Un asco como te burlas de todos nosotros. Créeme que ya nadie te pesca. #renunciapiñera y devuelve toda la plata que has robado.
6112,1186713090081075202,Tue Oct 22 18:37:03 +0000 2019,herrerandreucci,"Las Condes, Chile",Tue Oct 22 17:40:56 +0000 2019,RT @LosdAbajoAntifa: Llego la Hinchada de LosDeAbajo 🤘🏽 #piñerarenuncia #PineraDictador https://t.co/AZcQmlkBfh,
6151,1186713101464473603,Tue Oct 22 18:37:06 +0000 2019,sebastian_it,,Tue Oct 22 18:33:55 +0000 2019,"RT @AleDiezRT: Presidente @sebastianpinera 

#PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEstoyContigo
 #PiñeraEst…",
6156,1186713102869549056,Tue Oct 22 18:37:06 +0000 2019,neutroweb,"Santiago, Chile",,#PiñeraDictador tienes las manos y la conciencia ensangrentada @sebastianpinera RENUNCIA!!!!,
6165,1186713105587417088,Tue Oct 22 18:37:07 +0000 2019,xMR011x,En una cueva llena de osos (?),Tue Oct 22 14:13:37 +0000 2019,"RT @unachagama: Por Diego Quiero, Francisco Jara y yo #LosDibujantesEstamosPresentes #piñeradictador #ChileDesperto #noestamosengerra https…",
6197,1186713113602744320,Tue Oct 22 18:37:09 +0000 2019,JPFraser23,"San Miguel, Chile",Tue Oct 22 00:08:00 +0000 2019,RT @GAMBA_CL: El fracaso de Piñera y la Derecha es total: Si de verdad les interesa el país tienen que renunciar y llamar a elecciones anti…,
6207,1186713116849201154,Tue Oct 22 18:37:09 +0000 2019,BombAeroBAER_SA,"Caracas, Venezuela",Tue Oct 22 03:29:56 +0000 2019,RT @DrodriguezVen: Es lamentable q violación descarada y masiva de los DDHH en la dictadura pinochetista de @sebastianpinera cuente con la…,
6226,1186713122222084096,Tue Oct 22 18:37:11 +0000 2019,Nohe_rab,✺ Ψ ||-// ☬  ғ̶ᴘ̶ᴇ̶ ,Tue Oct 22 14:13:37 +0000 2019,"RT @unachagama: Por Diego Quiero, Francisco Jara y yo #LosDibujantesEstamosPresentes #piñeradictador #ChileDesperto #noestamosengerra https…",
6247,1186713127301320704,Tue Oct 22 18:37:12 +0000 2019,ricardomunz,"Valdivia, Chile",,Ossandón y Argandoña contra el Gobierno es una wea irreal #piñeradictador,
6248,1186713127494279168,Tue Oct 22 18:37:12 +0000 2019,robertmontalva,,Tue Oct 22 18:06:31 +0000 2019,"RT @IFDEnLucha: Periodista llevado detenido en Chile!
#renunciaPiñera https://t.co/SkuOfqgT9X",
